date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:31	2657/2657	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Jul%202023%2014:36:28%20GMT	https://netsoltech.com/robots.txt		(from )
03:17:32	30412/30412	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:30%20GMT	https://netsoltech.com/	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/index.html	(from )
03:17:32	3351/3351	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Aug%202022%2010:27:08%20GMT	https://netsoltech.com/images/NETSOL-favicon.png	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/NETSOL-favicon.png	(from https://netsoltech.com/)
03:17:33	6439/6439	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Aug%202022%2010:27:13%20GMT	https://netsoltech.com/images/netsollogo.png	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/netsollogo.png	(from https://netsoltech.com/)
03:17:34	30284/30284	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Feb%202019%2020:58:22%20GMT	https://netsoltech.com/css/fonts/TisaOT.woff2	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/TisaOT.woff2	(from https://netsoltech.com/)
03:17:34	23372/23372	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Feb%202019%2020:58:19%20GMT	https://netsoltech.com/css/fonts/eurostileext-reg-webfont.woff2	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/eurostileext-reg-webfont.woff2	(from https://netsoltech.com/)
03:17:34	10088/10088	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Feb%202019%2020:58:17%20GMT	https://netsoltech.com/css/fonts/Akkurat-Bold.woff2	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/Akkurat-Bold.woff2	(from https://netsoltech.com/)
03:17:35	9900/9900	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Feb%202019%2020:58:18%20GMT	https://netsoltech.com/css/fonts/Akkurat-Light.woff2	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/Akkurat-Light.woff2	(from https://netsoltech.com/)
03:17:36	66087/66087	---M--	200	added ('OK')	text/css	date:Wed,%2017%20May%202023%2007:11:13%20GMT	https://netsoltech.com/css/style.css	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/style.css	(from https://netsoltech.com/)
03:17:36	27455/27455	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2012:51:57%20GMT	https://netsoltech.com/css/responsive.css	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/responsive.css	(from https://netsoltech.com/)
03:17:36	95786/95786	---M--	200	added ('OK')	application/javascript	date:Sat,%2016%20Feb%202019%2020:58:01%20GMT	https://netsoltech.com/js/jquery-1.11.1.min.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/js/jquery-1.11.1.min.js	(from https://netsoltech.com/)
03:17:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2022%20Aug%202023%2022:17:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/www.googletagmanager.com/gtm.95445.delayed	(from https://netsoltech.com/)
03:17:38	1222/1222	---MC-	200	added ('OK')	text/javascript	date:Tue,%2022%20Aug%202023%2022:17:38%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/www.google.com/recaptcha/api.js	(from https://netsoltech.com/)
03:17:38	2553/2553	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:12%20GMT	https://netsoltech.com/images/netsol-logo.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/netsol-logo.svg	(from https://netsoltech.com/)
03:17:39	2516/2516	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:11%20GMT	https://netsoltech.com/images/netsol-logo-white.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/netsol-logo-white.svg	(from https://netsoltech.com/)
03:17:39	1724/1724	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:39%20GMT	https://netsoltech.com/images/scrollText.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/scrollText.svg	(from https://netsoltech.com/)
03:17:40	969/969	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:37%20GMT	https://netsoltech.com/images/scrollDown.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/scrollDown.svg	(from https://netsoltech.com/)
03:17:40	3043/3043	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:24:45%20GMT	https://netsoltech.com/images/backToTop.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/backToTop.svg	(from https://netsoltech.com/)
03:17:41	4685/4685	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:35%20GMT	https://netsoltech.com/images/requestDemo.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/requestDemo.svg	(from https://netsoltech.com/)
03:17:42	148683/148683	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:41%20GMT	https://netsoltech.com/contact-us	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/contact-us.html	(from https://netsoltech.com/)
03:17:43	27371/27371	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:42%20GMT	https://netsoltech.com/smartnav	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/smartnav.html	(from https://netsoltech.com/)
03:17:44	4615/4615	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:17%20GMT	https://netsoltech.com/images/netsolVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/netsolVector.svg	(from https://netsoltech.com/)
03:17:44	4932/4932	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:24:44%20GMT	https://netsoltech.com/images/ascentVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/ascentVector.svg	(from https://netsoltech.com/)
03:17:45	4119/4119	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:25:21%20GMT	https://netsoltech.com/images/digitalVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/digitalVector.svg	(from https://netsoltech.com/)
03:17:45	8115/8115	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:26:32%20GMT	https://netsoltech.com/images/investorsVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/investorsVector.svg	(from https://netsoltech.com/)
03:17:46	6021/6021	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:26:31%20GMT	https://netsoltech.com/images/innovationVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/innovationVector.svg	(from https://netsoltech.com/)
03:17:46	3859/3859	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:25:36%20GMT	https://netsoltech.com/images/eventsVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/eventsVector.svg	(from https://netsoltech.com/)
03:17:47	7340/7340	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:24:57%20GMT	https://netsoltech.com/images/contact-usVector.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/contact-usVector.svg	(from https://netsoltech.com/)
03:17:48	219433/219433	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:47%20GMT	https://netsoltech.com/about-us	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/about-us.html	(from https://netsoltech.com/)
03:17:49	74938/74938	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:48%20GMT	https://netsoltech.com/about-us-sr	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/about-us-sr.html	(from https://netsoltech.com/)
03:17:50	82261/82261	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:48%20GMT	https://netsoltech.com/products	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/products.html	(from https://netsoltech.com/)
03:17:51	130585/130585	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:50%20GMT	https://netsoltech.com/nfs-ascent	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/nfs-ascent.html	(from https://netsoltech.com/)
03:17:51	84159/84159	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:51%20GMT	https://netsoltech.com/nfs-digital	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/nfs-digital.html	(from https://netsoltech.com/)
03:17:52	130909/130909	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:51%20GMT	https://netsoltech.com/articles	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/articles.html	(from https://netsoltech.com/)
03:17:55	217226/217226	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:52%20GMT	https://netsoltech.com/downloads	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/downloads.html	(from https://netsoltech.com/)
03:17:56	72987/72987	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:55%20GMT	https://netsoltech.com/in-the-lab	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/in-the-lab.html	(from https://netsoltech.com/)
03:17:57	204113/204113	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:56%20GMT	https://netsoltech.com/events	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/events.html	(from https://netsoltech.com/)
03:17:58	148683/148683	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:57%20GMT	https://netsoltech.com/contact-us.php	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/contact-us-2.html	(from https://netsoltech.com/)
03:17:59	78565/78565	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:17:58%20GMT	https://netsoltech.com/cookies-policy	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/cookies-policy.html	(from https://netsoltech.com/)
03:17:59	7380/7380	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2005:52:44%20GMT	https://netsoltech.com/dist/jquery.convform.css	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/dist/jquery.convform.css	(from https://netsoltech.com/)
03:18:00	2055/2055	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:24%20GMT	https://netsoltech.com/images/Press-Releases.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/Press-Releases.svg	(from https://netsoltech.com/)
03:18:00	2588/2588	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2008%20Aug%202023%2009:08:19%20GMT	https://netsoltech.com/images/twitter.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/twitter.svg	(from https://netsoltech.com/)
03:18:01	1545/1545	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:25:34%20GMT	https://netsoltech.com/images/Events.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/Events.svg	(from https://netsoltech.com/)
03:18:01	3578/3578	---M--	200	added ('OK')	application/javascript	date:Sat,%2016%20Feb%202019%2020:58:40%20GMT	https://netsoltech.com/dist/autosize.min.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/dist/autosize.min.js	(from https://netsoltech.com/)
03:18:02	23331/23331	---M--	200	added ('OK')	application/javascript	date:Sat,%2016%20Feb%202019%2020:58:42%20GMT	https://netsoltech.com/dist/jquery.convform.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/dist/jquery.convform.js	(from https://netsoltech.com/)
03:18:03	76403/76403	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:02%20GMT	https://netsoltech.com/front-office-enablement	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/front-office-enablement.html	(from https://netsoltech.com/)
03:18:04	82058/82058	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:03%20GMT	https://netsoltech.com/ascent-omni-pos	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/ascent-omni-pos.html	(from https://netsoltech.com/)
03:18:05	84600/84600	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:04%20GMT	https://netsoltech.com/ascent-cms	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/ascent-cms.html	(from https://netsoltech.com/)
03:18:06	278/278	---M--	302	error ('Found')	text/html	date:Tue,%2022%20Aug%202023%2022:18:05%20GMT	https://netsoltech.com/digital-self-service-portal	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/digital-self-service-portal	(from https://netsoltech.com/)
03:18:07	77363/77363	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:06%20GMT	https://netsoltech.com/digital-field-team-enablement	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/digital-field-team-enablement.html	(from https://netsoltech.com/)
03:18:08	82213/82213	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:07%20GMT	https://netsoltech.com/ascent-wfs	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/ascent-wfs.html	(from https://netsoltech.com/)
03:18:09	74061/74061	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:08%20GMT	https://netsoltech.com/auto-finance	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/auto-finance.html	(from https://netsoltech.com/)
03:18:10	73697/73697	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:09%20GMT	https://netsoltech.com/equipment-finance	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/equipment-finance.html	(from https://netsoltech.com/)
03:18:12	75627/75627	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:11%20GMT	https://netsoltech.com/asset-finance	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/asset-finance.html	(from https://netsoltech.com/)
03:18:13	73329/73329	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2022:18:12%20GMT	https://netsoltech.com/digital-origination-enablement	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/digital-origination-enablement.html	(from https://netsoltech.com/)
03:18:13	8853/8853	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Mar%202019%2011:10:02%20GMT	https://netsoltech.com/js/customScripts.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/js/customScripts.js	(from https://netsoltech.com/)
03:18:14	2100/2100	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Mar%202019%2011:10:01%20GMT	https://netsoltech.com/js/canvasScript.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/js/canvasScript.js	(from https://netsoltech.com/)
03:18:15	13596/13596	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2024%20Jul%202023%2009:07:54%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://netsoltech.com/)
03:18:16	43932/43932	---M--	200	added ('OK')	font/woff	date:Sat,%2016%20Feb%202019%2020:58:22%20GMT	https://netsoltech.com/css/fonts/TisaOT.woff	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/TisaOT.woff	(from https://netsoltech.com/css/style.css)
03:18:16	29520/29520	---M--	200	added ('OK')	font/woff	date:Sat,%2016%20Feb%202019%2020:58:19%20GMT	https://netsoltech.com/css/fonts/eurostileext-reg-webfont.woff	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/eurostileext-reg-webfont.woff	(from https://netsoltech.com/css/style.css)
03:18:17	13892/13892	---M--	200	added ('OK')	font/woff	date:Sat,%2016%20Feb%202019%2020:58:17%20GMT	https://netsoltech.com/css/fonts/Akkurat-Light.woff	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/Akkurat-Light.woff	(from https://netsoltech.com/css/style.css)
03:18:17	14076/14076	---M--	200	added ('OK')	font/woff	date:Sat,%2016%20Feb%202019%2020:58:16%20GMT	https://netsoltech.com/css/fonts/Akkurat-Bold.woff	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/css/fonts/Akkurat-Bold.woff	(from https://netsoltech.com/css/style.css)
03:18:18	804/804	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:36%20GMT	https://netsoltech.com/images/right-arrow.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/right-arrow.svg	(from https://netsoltech.com/css/style.css)
03:18:18	804/804	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:27:35%20GMT	https://netsoltech.com/images/right-arrow-2.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/right-arrow-2.svg	(from https://netsoltech.com/css/style.css)
03:18:19	463/463	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:25:23%20GMT	https://netsoltech.com/images/down-arrow.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/down-arrow.svg	(from https://netsoltech.com/css/style.css)
03:18:19	463/463	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Aug%202022%2010:25:22%20GMT	https://netsoltech.com/images/down-arrow-2.svg	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/down-arrow-2.svg	(from https://netsoltech.com/css/style.css)
03:18:20	30282/30282	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2010:23:42%20GMT	https://netsoltech.com/images/aboutBg2.webp	C:/Users/TYM%20Solutions/Desktop/Netsol/In%20Shaa%20ALLAH%20ye%20kaam%20kregi/netsoltech.com/images/aboutBg2.html	(from https://netsoltech.com/css/style.css)
